timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685207203151,3,Home,200,OK,Thread Group 1-1,text,true,,1351,127,4,4,http://localhost:8080/jpetstore/,3,0,1
1685207203607,1,Home,200,OK,Thread Group 1-2,text,true,,1351,127,5,5,http://localhost:8080/jpetstore/,1,0,0
1685207203956,1,Home,200,OK,Thread Group 1-3,text,true,,1351,127,6,6,http://localhost:8080/jpetstore/,1,0,0
1685207204385,1,Home,200,OK,Thread Group 1-4,text,true,,1351,127,7,7,http://localhost:8080/jpetstore/,1,0,0
1685207204661,2,Main Catalog,200,OK,Thread Group 1-1,text,true,,5762,442,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685207204778,1,Home,200,OK,Thread Group 1-5,text,true,,1351,127,8,8,http://localhost:8080/jpetstore/,1,0,0
1685207205146,1,Home,200,OK,Thread Group 1-6,text,true,,1351,127,9,9,http://localhost:8080/jpetstore/,1,0,0
1685207205204,2,Main Catalog,200,OK,Thread Group 1-2,text,true,,5762,442,9,9,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685207205464,2,Main Catalog,200,OK,Thread Group 1-3,text,true,,5762,442,10,10,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685207205608,1,Home,200,OK,Thread Group 1-7,text,true,,1351,127,10,10,http://localhost:8080/jpetstore/,1,0,1
1685207205971,1,Home,200,OK,Thread Group 1-8,text,true,,1351,127,11,11,http://localhost:8080/jpetstore/,1,0,0
1685207205987,1,Main Catalog,200,OK,Thread Group 1-4,text,true,,5762,442,11,11,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685207206241,2,Sing In,200,OK,Thread Group 1-1,text,true,,3921,605,12,12,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=uInDvdNSgl30F6PnBSL1uk8PcDunVB2veicHa0GT.ppss-vb?signonForm=,2,0,0
1685207206335,1,Main Catalog,200,OK,Thread Group 1-5,text,true,,5762,442,12,12,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685207206390,1,Home,200,OK,Thread Group 1-9,text,true,,1351,127,12,12,http://localhost:8080/jpetstore/,1,0,0
1685207206670,1,Main Catalog,200,OK,Thread Group 1-6,text,true,,5762,442,13,13,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685207206720,3,Sing In,200,OK,Thread Group 1-2,text,true,,3923,605,13,13,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=uInDvdNSgl30F6PnBSL1uk8PcDunVB2veicHa0GT.ppss-vb?signonForm=,3,0,0
1685207206756,2,Home,200,OK,Thread Group 1-10,text,true,,1351,127,13,13,http://localhost:8080/jpetstore/,2,0,1
1685207206999,4,Sing In,200,OK,Thread Group 1-3,text,true,,3923,605,14,14,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=uInDvdNSgl30F6PnBSL1uk8PcDunVB2veicHa0GT.ppss-vb?signonForm=,4,0,0
1685207207126,2,Main Catalog,200,OK,Thread Group 1-7,text,true,,5762,442,14,14,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685207207161,1,Home,200,OK,Thread Group 1-11,text,true,,1351,127,14,14,http://localhost:8080/jpetstore/,1,0,0
1685207207520,3,Sing In,200,OK,Thread Group 1-4,text,true,,3923,605,15,15,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=uInDvdNSgl30F6PnBSL1uk8PcDunVB2veicHa0GT.ppss-vb?signonForm=,3,0,0
1685207207543,2,Main Catalog,200,OK,Thread Group 1-8,text,true,,5762,442,15,15,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685207207582,1,Home,200,OK,Thread Group 1-12,text,true,,1351,127,15,15,http://localhost:8080/jpetstore/,1,0,1
1685207207868,1,Sing In,200,OK,Thread Group 1-5,text,true,,3925,605,16,16,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=uInDvdNSgl30F6PnBSL1uk8PcDunVB2veicHa0GT.ppss-vb?signonForm=,1,0,0
1685207207932,1,Main Catalog,200,OK,Thread Group 1-9,text,true,,5762,442,16,16,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685207208023,1,Home,200,OK,Thread Group 1-13,text,true,,1351,127,16,16,http://localhost:8080/jpetstore/,1,0,0
1685207208205,3,Sing In,200,OK,Thread Group 1-6,text,true,,3925,605,17,17,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=uInDvdNSgl30F6PnBSL1uk8PcDunVB2veicHa0GT.ppss-vb?signonForm=,3,0,0
1685207208294,1,Main Catalog,200,OK,Thread Group 1-10,text,true,,5762,442,17,17,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685207208351,1,Home,200,OK,Thread Group 1-14,text,true,,1351,127,17,17,http://localhost:8080/jpetstore/,1,0,0
1685207208674,4,Sing In,200,OK,Thread Group 1-7,text,true,,3925,605,18,18,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=uInDvdNSgl30F6PnBSL1uk8PcDunVB2veicHa0GT.ppss-vb?signonForm=,4,0,0
1685207208723,2,Main Catalog,200,OK,Thread Group 1-11,text,true,,5762,442,18,18,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685207208820,1,Home,200,OK,Thread Group 1-15,text,true,,1351,127,18,18,http://localhost:8080/jpetstore/,1,0,0
1685207209131,1,Sing In,200,OK,Thread Group 1-8,text,true,,3921,605,19,19,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=uInDvdNSgl30F6PnBSL1uk8PcDunVB2veicHa0GT.ppss-vb?signonForm=,1,0,0
1685207209153,2,Main Catalog,200,OK,Thread Group 1-12,text,true,,5762,442,19,19,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685207209202,1,Home,200,OK,Thread Group 1-16,text,true,,1351,127,19,19,http://localhost:8080/jpetstore/,1,0,0
1685207209501,2,Sing In,200,OK,Thread Group 1-9,text,true,,3921,605,20,20,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=uInDvdNSgl30F6PnBSL1uk8PcDunVB2veicHa0GT.ppss-vb?signonForm=,2,0,0
1685207209532,2,Main Catalog,200,OK,Thread Group 1-13,text,true,,5762,442,20,20,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
