timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685456920365,4,Home,200,OK,Thread Group 1-1,text,true,,1497,253,4,4,http://localhost:8080/jpetstore/,2,0,0
1685456920365,2,Home-0,302,Found,Thread Group 1-1,,true,,146,126,4,4,http://localhost:8080/jpetstore,2,0,0
1685456920367,2,Home-1,200,OK,Thread Group 1-1,text,true,,1351,127,4,4,http://localhost:8080/jpetstore/,1,0,0
1685456920793,6,Home,200,OK,Thread Group 1-2,text,true,,1497,253,5,5,http://localhost:8080/jpetstore/,5,0,2
1685456920793,5,Home-0,302,Found,Thread Group 1-2,,true,,146,126,5,5,http://localhost:8080/jpetstore,5,0,2
1685456920798,1,Home-1,200,OK,Thread Group 1-2,text,true,,1351,127,5,5,http://localhost:8080/jpetstore/,1,0,0
1685456921243,8,Home,200,OK,Thread Group 1-3,text,true,,1497,253,7,7,http://localhost:8080/jpetstore/,7,0,6
1685456921243,7,Home-0,302,Found,Thread Group 1-3,,true,,146,126,7,7,http://localhost:8080/jpetstore,7,0,6
1685456921250,1,Home-1,200,OK,Thread Group 1-3,text,true,,1351,127,7,7,http://localhost:8080/jpetstore/,1,0,0
1685456921621,3,Home,200,OK,Thread Group 1-4,text,true,,1497,253,7,7,http://localhost:8080/jpetstore/,2,0,1
1685456921621,2,Home-0,302,Found,Thread Group 1-4,,true,,146,126,7,7,http://localhost:8080/jpetstore,2,0,1
1685456921623,1,Home-1,200,OK,Thread Group 1-4,text,true,,1351,127,7,7,http://localhost:8080/jpetstore/,1,0,0
1685456921956,4,Main Catalog,200,OK,Thread Group 1-1,text,true,,5762,149,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685456922010,3,Home,200,OK,Thread Group 1-5,text,true,,1497,253,8,8,http://localhost:8080/jpetstore/,2,0,0
1685456922010,2,Home-0,302,Found,Thread Group 1-5,,true,,146,126,8,8,http://localhost:8080/jpetstore,2,0,0
1685456922012,1,Home-1,200,OK,Thread Group 1-5,text,true,,1351,127,8,8,http://localhost:8080/jpetstore/,1,0,0
1685456922304,2,Main Catalog,200,OK,Thread Group 1-2,text,true,,5762,149,9,9,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685456922422,2,Home,200,OK,Thread Group 1-6,text,true,,1497,253,9,9,http://localhost:8080/jpetstore/,1,0,0
1685456922422,1,Home-0,302,Found,Thread Group 1-6,,true,,146,126,9,9,http://localhost:8080/jpetstore,1,0,0
1685456922424,0,Home-1,200,OK,Thread Group 1-6,text,true,,1351,127,9,9,http://localhost:8080/jpetstore/,0,0,0
1685456922820,3,Main Catalog,200,OK,Thread Group 1-3,text,true,,5762,149,10,10,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685456922843,3,Home,200,OK,Thread Group 1-7,text,true,,1497,253,11,11,http://localhost:8080/jpetstore/,2,0,0
1685456922843,2,Home-0,302,Found,Thread Group 1-7,,true,,146,126,11,11,http://localhost:8080/jpetstore,2,0,0
1685456922845,1,Home-1,200,OK,Thread Group 1-7,text,true,,1351,127,11,11,http://localhost:8080/jpetstore/,1,0,0
1685456923186,10,Home,200,OK,Thread Group 1-8,text,true,,1497,253,11,11,http://localhost:8080/jpetstore/,7,0,2
1685456923186,7,Home-0,302,Found,Thread Group 1-8,,true,,146,126,11,11,http://localhost:8080/jpetstore,7,0,2
1685456923193,3,Home-1,200,OK,Thread Group 1-8,text,true,,1351,127,11,11,http://localhost:8080/jpetstore/,3,0,0
1685456923201,9,Main Catalog,200,OK,Thread Group 1-4,text,true,,5762,149,11,11,http://localhost:8080/jpetstore/actions/Catalog.action,9,0,0
1685456923462,4,SingIn,200,OK,Thread Group 1-1,text,true,,3921,605,12,12,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,4,0,0
1685456923561,3,Home,200,OK,Thread Group 1-9,text,true,,1497,253,12,12,http://localhost:8080/jpetstore/,2,0,1
1685456923561,2,Home-0,302,Found,Thread Group 1-9,,true,,146,126,12,12,http://localhost:8080/jpetstore,2,0,1
1685456923563,1,Home-1,200,OK,Thread Group 1-9,text,true,,1351,127,12,12,http://localhost:8080/jpetstore/,1,0,0
1685456923611,8,Main Catalog,200,OK,Thread Group 1-5,text,true,,5762,149,12,12,http://localhost:8080/jpetstore/actions/Catalog.action,8,0,0
1685456923867,4,SingIn,200,OK,Thread Group 1-2,text,true,,3925,605,13,13,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,4,0,0
1685456923935,2,Main Catalog,200,OK,Thread Group 1-6,text,true,,5762,149,13,13,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685456924037,6,Home,200,OK,Thread Group 1-10,text,true,,1497,253,14,14,http://localhost:8080/jpetstore/,5,0,0
1685456924037,5,Home-0,302,Found,Thread Group 1-10,,true,,146,126,14,14,http://localhost:8080/jpetstore,5,0,0
1685456924042,1,Home-1,200,OK,Thread Group 1-10,text,true,,1351,127,14,14,http://localhost:8080/jpetstore/,1,0,0
1685456924371,3,SingIn,200,OK,Thread Group 1-3,text,true,,3923,605,14,14,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,3,0,0
1685456924395,2,Main Catalog,200,OK,Thread Group 1-7,text,true,,5762,149,14,14,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685456924413,2,Home,200,OK,Thread Group 1-11,text,true,,1497,253,14,14,http://localhost:8080/jpetstore/,1,0,0
1685456924413,1,Home-0,302,Found,Thread Group 1-11,,true,,146,126,14,14,http://localhost:8080/jpetstore,1,0,0
1685456924414,1,Home-1,200,OK,Thread Group 1-11,text,true,,1351,127,14,14,http://localhost:8080/jpetstore/,1,0,0
1685456924737,3,Main Catalog,200,OK,Thread Group 1-8,text,true,,5762,149,15,15,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
